Longitude,Latitude,Basin,Distance [m],Elevation [m],Slope,Area [m2],chi,ksn,Bankfull channel w [m],Bankfull flow d [m],omega [W/m2],HS angle [deg],Rock
140.6645,37.0909,Basin 1,0,378.1,0.0059,24102234,0.0158,10.61,14.95,1,27,34.1,Meta
140.6643,37.0917,Basin 1,85,378.4,0.0075,24052870,0.0405,16.58,12.65,0.9,26,34.9,Meta
140.6643,37.0919,Basin 1,105,378.6,0.0091,24037190,0.0501,18.22,11.15,1.1,50,36.4,Meta
140.6644,37.0924,Basin 1,165,379.1,0.0084,24011388,0.0787,19.46,15.75,1,42,36.4,Meta
140.6646,37.0935,Basin 1,295,380.1,0.0083,23219273,0.1409,26.53,13.6,0.9,29,36.6,Meta
140.6646,37.094,Basin 1,350,381.2,0.0197,21090071,0.1681,52.13,12.3,1.2,158,36.4,Meta
140.6627,37.0958,Basin 1,690,388.3,0.0011,19880639,0.3443,1.52,10.35,0.7,1,40.6,Meta
140.6624,37.0969,Basin 1,820,388.4,0.0008,19776455,0.412,9.97,15.1,1.1,4,33.7,Meta
140.6624,37.0986,Basin 1,1030,390.9,0.0153,19266242,0.5218,56.74,12.15,0.95,65,34.5,Meta
140.6623,37.0989,Basin 1,1065,392.5,0.027,19218584,0.5402,70.59,10.3,0.8,74,32.8,Meta
140.6624,37.0996,Basin 1,1155,395.7,0.0379,19176519,0.5878,55.07,13.1,1.1,273,34.7,Meta
140.6621,37.1007,Basin 1,1280,398.5,0.0213,19147020,0.6538,28.9,13.1,0.7,43,37.6,Meta
140.6617,37.1018,Basin 1,1415,400.5,0.0184,17630999,0.7261,45.24,9.6,0.95,72,40.5,Meta
140.661,37.1025,Basin 1,1520,403.4,0.0284,17388641,0.784,42.94,11.9,0.8,83,34.2,Meta
140.6599,37.1032,Basin 1,1655,406.1,0.021,17328668,0.8586,26.2,10.25,1,98,32.7,Meta
140.6592,37.1038,Basin 1,1755,407.6,0.0132,15420043,0.915,33.17,10.1,0.8,33,32.6,Meta
140.6571,37.1049,Basin 1,2025,414.2,0.0276,14727784,1.0743,41.86,9.95,0.7,53,27.7,Meta
140.6569,37.1053,Basin 1,2080,415.4,0.0273,14638970,1.1071,36.64,10.6,1.2,211,19.5,Meta
140.6569,37.1064,Basin 1,2220,418.3,0.0215,14594757,1.1907,29.98,10.3,0.95,89,31.8,Meta
140.6571,37.1075,Basin 1,2350,422.3,0.0213,14408120,1.2686,55.07,10.4,1,101,33.2,Meta
140.6571,37.1081,Basin 1,2425,423.5,0.0346,14389532,1.3136,15.8,11.4,1,182,28.4,Meta
140.7016,37.0753,Basin 1,2495,424.1,0.0223,14280124,1.3558,20,11.45,1,111,34.2,Meta
140.6573,37.1091,Basin 1,2555,425,0.009,14212446,1.392,27.55,12.3,0.9,31,28.2,Meta
140.6576,37.1099,Basin 1,2655,427,0.0145,13905068,1.4528,36.39,9.5,0.85,41,33,Meta
140.6572,37.1106,Basin 1,2760,429.2,0.0224,13860883,1.5169,30.36,10.8,1.15,154,32.4,Meta
140.6567,37.1118,Basin 1,2910,432.3,0.018,13773110,1.6087,36.65,10.7,0.8,47,33.6,Meta
140.6561,37.1128,Basin 1,3050,435.3,0.0216,13687556,1.6946,37.65,9.9,1.4,224,30.2,Meta
140.6558,37.1137,Basin 1,3150,437.8,0.0226,13594284,1.7562,46.38,9.85,0.7,42,38.8,Meta
140.6556,37.1142,Basin 1,3225,439.5,0.0261,13569350,1.8025,23.9,14.4,1.35,315,33.4,Meta
140.6553,37.1146,Basin 1,3280,440.2,0.0278,13432313,1.8365,32.49,11.3,1.1,180,35.2,Meta
140.6543,37.1146,Basin 1,3380,443.3,0.014,13308594,1.8986,50.4,10.85,1.3,122,33.6,Meta
140.6538,37.1148,Basin 1,3445,445.2,0.0217,13296424,1.9391,36.73,9.9,0.95,88,33.3,Meta
140.6539,37.1156,Basin 1,3625,448.4,0.0327,13259319,2.0513,35.05,8.9,0.8,86,29.7,Meta
140.6554,37.1168,Basin 1,3835,455.3,0.0171,11988160,2.1863,28.28,13.3,1,87,32.9,Meta
140.6554,37.1176,Basin 1,4020,457,0.0437,11957644,2.3071,10.02,13.6,1.1,325,34,Meta
140.6544,37.118,Basin 1,4155,458.5,0.0186,11916934,2.3954,18.4,11.45,1.2,143,32.3,Meta
140.6542,37.1177,Basin 1,4195,459,0.0115,11908917,2.4216,17.73,11.5,0.95,46,27.4,Meta
140.6523,37.1177,Basin 1,4455,463.5,0.0121,10012857,2.5956,31.08,7.75,1,45,37.9,Meta
140.6515,37.1191,Basin 1,4630,467.7,0.0187,9669082,2.7212,22.51,8.5,0.6,21,21.6,Meta
140.6499,37.12,Basin 1,4860,471.7,0.026,8281459,2.8882,28.78,8.9,0.7,47,34,Meta
140.648,37.1193,Basin 1,5075,476.1,0.014,7804773,3.0576,22.43,10.65,0.9,48,32.7,Meta
140.6471,37.1192,Basin 1,5160,477.5,0.0196,7681909,3.1252,23.26,11.5,0.85,63,30.7,Meta
140.6462,37.1194,Basin 1,5245,479.2,0.0214,7642049,3.193,34.91,8.8,0.6,25,34.7,Meta
140.6456,37.1202,Basin 1,5390,485.6,0.0207,6055042,3.3109,55.52,7.55,0.8,48,32.2,Meta
140.645,37.1211,Basin 1,5510,492.5,0.0164,5031705,3.4245,68.68,7.4,0.7,26,30.9,Meta
140.6444,37.1218,Basin 1,5620,500.6,0.0201,4974083,3.531,78.42,8.15,0.5,14,28.4,Meta
140.6438,37.1221,Basin 1,5685,505.5,0.0438,4948904,3.594,73.31,8,0.6,55,28,Meta
140.6427,37.1258,Basin 1,6285,527.3,0.0448,4453951,4.1885,18.34,6.3,1.2,259,33,Meta
140.6414,37.1267,Basin 1,6490,531.6,0.042,4305366,4.3989,30.68,8.15,1.1,238,33.2,Meta
140.6418,37.1275,Basin 1,6590,534.5,0.0255,4254720,4.5027,21.18,6.8,1.55,252,33.3,Meta
140.6418,37.128,Basin 1,6655,535.8,0.0241,4236795,4.5703,18.74,7,0.95,82,32.1,Meta
140.6422,37.1287,Basin 1,6755,537.6,0.0197,4177057,4.6747,12.86,6.25,0.7,29,37.5,Meta
140.6429,37.1298,Basin 1,6900,541.1,0.0182,3501302,4.832,34.44,6.6,0.8,38,33.6,Meta
140.6428,37.1306,Basin 1,6990,544.5,0.0269,3342867,4.9358,22.68,6.2,0.75,49,34.8,Meta
140.6425,37.1326,Basin 1,7220,550.5,0.0163,3202022,5.2038,30.61,5.4,1.15,66,31.1,Meta
140.6428,37.1332,Basin 1,7295,553.6,0.0135,3149596,5.2929,31.14,6.1,0.85,30,26.5,Meta
140.6428,37.1337,Basin 1,7375,556.2,0.0313,3117710,5.3883,22.22,4.9,0.7,43,27.5,Meta
140.642,37.1346,Basin 1,7505,559.6,0.0332,2729233,5.5484,29.36,7.85,1.1,178,29.4,Meta
140.6416,37.1354,Basin 1,7625,564.4,0.0227,2663385,5.7017,26.58,6.1,0.75,40,23.8,Meta
140.6414,37.1359,Basin 1,7740,568.6,0.0307,2554064,5.8511,29.46,5,0.5,19,19.6,Meta
140.6375,37.1402,Basin 1,8435,585.5,0.0373,1688440,6.8512,14.11,2.5,0.75,33,15.2,Meta
140.6871,37.0643,Basin 2,55,184.6,0.0843,4581441,0.0553,83.77,8.2,1.2,645,33.1,Meta
140.6871,37.0645,Basin 2,80,186.7,0.0843,4577947,0.0805,83.32,6.9,1.5,921,38.5,Meta
140.6871,37.0659,Basin 2,240,201,0.0888,4541165,0.2417,83.28,6.6,0.7,165,39.8,Meta
140.6872,37.066,Basin 2,255,202.3,0.0758,4534492,0.2569,77.18,5.3,0.75,143,40.4,Meta
140.6873,37.0662,Basin 2,290,205,0.0758,4519664,0.2923,66.43,5.6,1.55,710,42.1,Meta
140.6876,37.0663,Basin 2,305,205.8,0.0637,4514122,0.3075,65.66,4.7,0.9,162,43.1,Meta
140.6877,37.0663,Basin 2,350,208.5,0.0637,4501109,0.3531,64.08,5.3,0.8,136,42,Meta
140.688,37.0663,Basin 2,380,210.5,0.0637,4494521,0.3835,63.31,6.25,2.25,1314,38.9,Meta
140.6892,37.0668,Basin 2,530,219.2,0.0515,4415935,0.5363,49.34,10,1,267,40.8,Meta
140.6882,37.0705,Basin 2,1060,247.3,0.0682,4121776,1.0862,66.32,7,1.45,683,34,Meta
140.6882,37.0708,Basin 2,1100,250.2,0.0682,4019637,1.1287,66.51,5.5,0.95,223,29.8,Meta
140.6882,37.0716,Basin 2,1185,255.9,0.0694,3900615,1.2202,52.97,8.75,3.25,4194,34.6,Meta
140.6881,37.0718,Basin 2,1225,258,0.0592,3882544,1.2635,51.46,4.8,0.7,86,37.3,Meta
140.6881,37.0719,Basin 2,1230,258.2,0.0592,3880285,1.2689,51.28,6,0.7,99,37.4,Meta
140.6881,37.0722,Basin 2,1270,260.5,0.0563,3869129,1.3123,58.5,4.1,0.7,73,37.5,Meta
140.688,37.0724,Basin 2,1290,261.7,0.0563,3863110,1.334,62.61,6.75,2,1011,37.1,Meta
140.6878,37.0727,Basin 2,1340,265.8,0.0651,3841577,1.3884,71.94,4.4,0.65,76,37.1,Meta
140.688,37.0729,Basin 2,1365,267.6,0.0651,3829677,1.4157,67.71,6.65,1.5,665,39,Meta
140.6879,37.0733,Basin 2,1415,271.1,0.0755,3691302,1.4705,61.9,4.6,0.6,77,35.4,Meta
140.6878,37.0736,Basin 2,1460,274.2,0.073,3495713,1.521,58.97,5.75,1.7,836,37.4,Meta
140.6876,37.0739,Basin 2,1495,276.6,0.0674,3357015,1.5612,57.42,3.8,0.8,112,38.2,Meta
140.6874,37.0741,Basin 2,1520,278.2,0.0674,3340911,1.5902,57.21,3.7,0.5,38,37.5,Meta
140.6873,37.0743,Basin 2,1565,281.1,0.0651,3285844,1.6425,65.61,7.8,2.95,2853,38,Meta
140.6872,37.0748,Basin 2,1610,285.2,0.0695,2647481,1.6983,72.21,4.2,0.6,66,39.7,Meta
140.6867,37.0755,Basin 2,1725,295.1,0.0987,1835236,1.8671,38.98,5.4,0.8,227,39.5,Meta
140.6865,37.0757,Basin 2,1745,296.1,0.0802,1829232,1.8975,35.98,5.3,0.7,129,38.8,Meta
140.6864,37.076,Basin 2,1820,300.2,0.0802,1804360,2.0119,45.69,5.3,0.85,203,35.6,Meta
140.6863,37.0764,Basin 2,1850,302.4,0.0576,1794578,2.0578,51.17,7.3,1.45,586,35.3,Meta
140.6863,37.0766,Basin 2,1875,304.7,0.0546,1786747,2.0962,53.44,4.4,1.1,195,35.2,Meta
140.6861,37.0769,Basin 2,1915,308.1,0.0546,1775927,2.1578,55.6,3.7,0.8,86,35.6,Meta
140.6861,37.0771,Basin 2,1945,310.6,0.0697,1768047,2.204,56.87,3.2,0.75,87,35.9,Meta
140.6859,37.0775,Basin 2,2005,316.1,0.0834,1743011,2.297,62.8,4.4,0.7,119,34.5,Meta
140.6857,37.0778,Basin 2,2045,320.1,0.0895,1730719,2.3592,61.92,3.4,0.6,75,34.5,Meta
140.6855,37.078,Basin 2,2095,324.9,0.0895,1709182,2.4374,52.42,4.35,0.7,128,36.5,Meta
140.6855,37.0784,Basin 2,2130,327.6,0.0956,1689054,2.4924,46.62,3.6,0.8,158,36.9,Meta
140.6854,37.0789,Basin 2,2205,333.1,0.0958,1585617,2.6126,60.96,4.7,0.6,102,37.6,Meta
140.6852,37.0792,Basin 2,2245,337.8,0.0875,1569245,2.6776,72.83,5.2,0.8,193,38.9,Meta
140.6849,37.0793,Basin 2,2285,342.9,0.074,1542559,2.743,75.06,5.95,1.45,645,40.2,Meta
140.6845,37.0794,Basin 2,2320,347.1,0.0849,1533171,2.8006,68.76,3.9,0.8,148,39.7,Meta
140.6841,37.0796,Basin 2,2360,351.6,0.0849,1455879,2.8671,64.4,8.5,1.85,1741,38.6,Meta
140.6838,37.0798,Basin 2,2405,356.4,0.1121,1295352,2.9447,64.94,4.5,0.75,198,37.3,Meta
140.6834,37.0799,Basin 2,2455,362.3,0.1239,1195397,3.036,65.16,9.7,1.8,2818,36.8,Meta
140.6828,37.0804,Basin 2,2540,371.6,0.1122,1180668,3.1929,54.4,3.1,0.6,90,38.3,Meta
140.6827,37.0808,Basin 2,2605,378.1,0.1167,1161997,3.3136,54.46,4.1,1,353,39,Meta
140.6826,37.0809,Basin 2,2610,378.6,0.1167,1159872,3.323,55.12,3.9,0.9,272,39.1,Meta
140.6825,37.0812,Basin 2,2660,383.9,0.1117,1123596,3.4168,62.84,3,0.6,87,36.2,Meta
140.6823,37.0819,Basin 2,2740,395,0.1024,987298,3.5726,59.65,3.4,0.8,162,38.7,Meta
140.6821,37.0822,Basin 2,2785,399,0.0994,969289,3.6634,70.62,3.4,0.8,156,39.8,Meta
140.682,37.0825,Basin 2,2815,404.2,0.1108,903392,3.7251,81.92,3,0.6,86,40.3,Meta
140.6819,37.0828,Basin 2,2860,413.3,0.1259,779456,3.8227,77.92,3.65,0.6,117,32.2,Meta
140.6822,37.0837,Basin 2,2965,423.8,0.1486,687149,4.0683,44.68,4.2,0.55,127,35.7,Meta
140.6926,37.0615,Basin 3,145,180.8,0.0507,6757571,0.1217,64.44,6.7,1.7,651,18.7,Meta
140.693,37.0619,Basin 3,195,183.9,0.0599,6719739,0.164,73.24,6.35,0.9,189,23.2,Meta
140.6932,37.0623,Basin 3,250,187.4,0.058,6705710,0.2106,70.71,9.45,1,297,26.9,Meta
140.6935,37.0625,Basin 3,295,189.9,0.058,6681113,0.2487,68.48,6.3,1.4,481,29.8,Meta
140.6941,37.063,Basin 3,365,194.2,0.0667,6635367,0.3083,77.63,10.4,1,365,34,Meta
140.6944,37.0632,Basin 3,400,196.6,0.0667,6622908,0.3381,80.3,5.15,0.75,121,33.2,Meta
140.6946,37.0635,Basin 3,450,200.1,0.0695,6608489,0.3807,81.06,7.3,0.9,244,32.5,Meta
140.695,37.0639,Basin 3,505,204,0.0686,6589766,0.4276,76.49,5.2,0.85,168,33.1,Meta
140.6951,37.0643,Basin 3,555,207,0.0646,6516820,0.4704,78.17,7.3,1.8,1046,32.9,Meta
140.6953,37.0649,Basin 3,635,213.1,0.0765,6392938,0.5394,90.02,4.75,0.75,134,38,Meta
140.6953,37.0653,Basin 3,680,216.4,0.0718,6367820,0.5784,78.33,6.8,1.9,1218,40.8,Meta
140.6953,37.0657,Basin 3,725,219.2,0.0711,6285508,0.6176,83.45,4.7,1,230,40.5,Meta
140.6952,37.0659,Basin 3,755,221.5,0.0711,6252763,0.6438,81.5,8.15,1.9,1448,39.2,Meta
140.6953,37.0662,Basin 3,790,224.2,0.0662,6224759,0.6744,76.32,5.1,0.75,119,38.9,Meta
140.6951,37.0668,Basin 3,850,227.4,0.0597,6193145,0.7271,77.06,10.5,1.5,868,37,Meta
140.6954,37.0671,Basin 3,900,231.2,0.0767,6149059,0.771,106.07,5.9,0.8,181,35.1,Meta
140.6958,37.0675,Basin 3,965,239,0.1117,6099932,0.8284,127.51,7.25,0.6,151,37.1,Meta
140.696,37.0677,Basin 3,995,242.2,0.1111,6090704,0.855,120.2,7.8,1.95,2420,37.4,Meta
140.6967,37.0696,Basin 3,1265,278.5,0.1487,5933063,1.0955,173.57,8.1,1.1,991,37.6,Meta
140.6966,37.0702,Basin 3,1330,291,0.1659,5905545,1.1538,226.89,7.6,0.7,358,36,Meta
140.6966,37.0705,Basin 3,1380,301.4,0.2005,5893521,1.1987,155.42,7.7,0.9,833,40.6,Meta
140.6962,37.0707,Basin 3,1420,304.8,0.1482,5882165,1.2346,91.33,7.1,0.85,492,42.3,Meta
140.696,37.0709,Basin 3,1440,305.9,0.1482,5874047,1.2526,63.78,10.95,1.1,1172,42.1,Meta
140.6958,37.0712,Basin 3,1495,308,0.0648,5827435,1.3022,49.92,5.2,1,225,39.2,Meta
140.6958,37.0716,Basin 3,1555,311.2,0.0375,5789552,1.3564,86,6.65,0.9,115,34.7,Meta
140.6959,37.072,Basin 3,1600,315.2,0.0477,5753248,1.3972,127.82,8.75,1.2,354,34.7,Meta
140.6961,37.0724,Basin 3,1650,322,0.0948,5672666,1.4428,162.44,6.2,1.05,444,37.8,Meta
140.6967,37.0729,Basin 3,1750,339.5,0.1739,5580239,1.5344,171.43,9.35,2.3,6694,36.6,Meta
140.6975,37.0732,Basin 3,1840,350.8,0.1385,5477966,1.6177,135.56,9.95,1.6,2508,43.5,Meta
140.6978,37.0731,Basin 3,1875,355.6,0.1385,5464897,1.6502,156.08,5.8,0.8,348,44.5,Meta
140.699,37.073,Basin 3,1995,375,0.1411,5428789,1.7619,174.97,6.7,1,659,42.1,Meta
140.6994,37.0734,Basin 3,2065,385.3,0.1685,5408271,1.8272,109.08,9.55,2.25,6306,41.6,Meta
140.6997,37.0736,Basin 3,2100,388.1,0.1685,5401877,1.8598,63.25,5.5,1.1,855,42.6,Meta
140.7009,37.0735,Basin 3,2235,397.9,0.049,5236147,1.9868,130.53,7.85,1.3,406,40.4,Meta
140.7015,37.0739,Basin 3,2320,411.2,0.0836,5132240,2.0678,159.56,8,1.8,1528,38.6,Meta
140.7017,37.0747,Basin 3,2420,423.6,0.1575,5069611,2.1635,137.15,7.85,2.1,4183,41.1,Meta
140.6571,37.1087,Basin 3,2495,435.7,0.126,5022918,2.2358,144.98,10.55,0.9,577,39.6,Granite
140.7034,37.0768,Basin 3,2790,463.1,0.0693,4843380,2.5225,102.92,10.15,0.8,213,29.7,Granite
140.7033,37.0778,Basin 3,2915,471.2,0.1078,4654643,2.6462,46.46,8.65,1.1,718,38.4,Granite
140.7035,37.0781,Basin 3,2960,473.4,0.1077,4647051,2.6911,47.61,7.7,0.6,149,33.8,Granite
140.7039,37.0787,Basin 3,3040,477.3,0.0498,4626262,2.7711,42.99,9.3,1.1,313,27.3,Granite
