Longitude,Latitude,Basin,Distance [m],Elevation [m],Slope,Area [m2],chi,ksn,Bankfull channel w [m],Bankfull flow d [m],omega [W/m2],HS angle [deg],Rock
140.7045,37.0793,Basin 3,3135,480.7,0.0457,4391499,2.8675,48.52,7.3,0.8,114,32,Granite
140.7046,37.0796,Basin 3,3205,485.7,0.0435,4332027,2.9395,59.87,8,0.6,54,29.7,Granite
140.705,37.08,Basin 3,3260,488.4,0.0435,4320930,2.9963,26.51,7.9,0.6,54,25.6,Granite
140.7052,37.0805,Basin 3,3310,488.7,0.0537,4290758,3.048,8.82,7.65,0.6,68,24.6,Granite
140.7051,37.0809,Basin 3,3360,489,0.0637,4215968,3.1,7.09,5.95,0.7,107,26.7,Granite
140.7043,37.0818,Basin 3,3500,490.3,0.0123,3998775,3.2475,41.13,9.05,0.85,33,32.6,Granite
140.7041,37.0825,Basin 3,3610,498.4,0.0045,3884858,3.3659,48.24,6.95,0.5,2,31.8,Granite
140.7048,37.083,Basin 3,3690,501.5,0.0135,3439207,3.4554,53.67,6.8,1.1,58,28.7,Granite
140.7052,37.0835,Basin 3,3780,507.6,0.0677,3406893,3.5588,41.12,7.2,0.9,235,32.2,Granite
140.7058,37.0838,Basin 3,3850,509.9,0.0578,3372416,3.6394,36.65,7.2,0.7,106,30.4,Granite
140.7066,37.0839,Basin 3,3925,514.8,0.0596,3349398,3.7261,54.78,11.2,0.4,28,31.4,Granite
140.7074,37.0838,Basin 3,4010,519.2,0.0615,2941246,3.8271,22.9,8,1.1,363,31.3,Granite
140.7079,37.0839,Basin 3,4050,519.8,0.0441,2937928,3.8762,7.45,7.1,0.8,108,30.9,Granite
140.7083,37.0842,Basin 3,4110,519.8,0.0441,2927941,3.95,1.69,6.6,0.75,88,29.8,Granite
140.7087,37.0844,Basin 3,4155,519.9,0.0634,2913624,4.0054,8.29,6.3,0.9,201,29.2,Granite
140.7091,37.0846,Basin 3,4200,520.9,0.064,2904285,4.0609,23.67,5.3,1,226,29,Granite
140.7095,37.0851,Basin 3,4275,523.4,0.0357,2795634,4.1539,23.64,6.65,0.65,49,28.3,Granite
140.7097,37.0855,Basin 3,4330,524.9,0.0084,2553937,4.2244,20.21,6.2,0.7,11,28.8,Granite
140.7094,37.0865,Basin 3,4440,527.3,0.0276,2437874,4.3705,15.74,6.55,0.4,10,29.5,Granite
140.7094,37.0868,Basin 3,4565,530.5,0.0319,2377248,4.5385,32.85,6.8,0.5,22,27.9,Granite
140.7095,37.0872,Basin 3,4650,535.9,0.0297,2349104,4.6536,39.77,7.1,0.65,41,26.4,Granite
140.7098,37.0874,Basin 3,4675,537.1,0.0297,2128119,4.6896,32.19,6.7,0.5,20,28.5,Granite
140.7104,37.0876,Basin 3,4730,538.9,0.0253,1831961,4.7707,20.01,6.3,0.55,21,28.6,Granite
140.7105,37.0877,Basin 3,4745,539.2,0.0201,1812181,4.7935,18.12,7.1,0.6,22,28.7,Granite
140.711,37.0881,Basin 3,4810,541.1,0.019,1756643,4.8936,24.14,7.95,0.65,26,26.1,Granite
140.7116,37.0885,Basin 3,4895,544.1,0.0376,1476823,5.0279,17.69,7.25,0.85,106,27.3,Granite
140.7125,37.0892,Basin 3,5025,548.7,0.0591,843476,5.2879,18.36,5.6,0.55,52,33.5,Granite
140.7131,37.0897,Basin 3,5110,553.7,0.0377,803506,5.4726,39.05,5.15,0.55,30,28,Granite
140.7131,37.0901,Basin 3,5160,558.5,0.0277,768971,5.5838,45.17,4.9,0.5,16,26.5,Granite
140.7133,37.0906,Basin 3,5235,566.6,0.0338,730500,5.7543,46.89,6.55,0.5,23,26.3,Granite
140.7135,37.0913,Basin 3,5310,575.1,0.0307,574557,5.9353,41.95,3.6,0.55,19,21.7,Meta
140.7137,37.0914,Basin 3,5330,577,0.0338,570703,5.9867,39.71,4.5,0.8,59,20.7,Meta
140.7144,37.0916,Basin 3,5400,583.6,0.0357,555764,6.1674,34.95,4.5,0.65,39,25.5,Meta
140.715,37.0916,Basin 3,5455,588.4,0.0517,544003,6.3111,35.26,4.45,0.4,18,31.3,Meta
140.7158,37.0917,Basin 3,5535,596.7,0.1003,500194,6.5253,38.56,5,0.5,71,32.1,Meta
140.7165,37.0918,Basin 3,5605,604,0.1098,457791,6.7188,29.66,3.45,0.4,37,35.3,Meta
140.7063,37.0596,Basin 4,10,238.7,0.1397,1548694,0.0542,82.01,3.5,0.7,178,29.8,Granite
140.7062,37.06,Basin 4,60,242.6,0.16,1544219,0.0983,91.87,2.8,0.8,219,32.4,Granite
140.706,37.0606,Basin 4,125,253.5,0.1917,1531549,0.2052,119.37,3.3,0.55,143,36.3,Granite
140.7058,37.0608,Basin 4,170,263.5,0.2092,1508675,0.2794,124.92,3.6,0.6,205,35.5,Meta
140.7055,37.0612,Basin 4,220,274,0.1933,1455402,0.3632,116.29,3.55,0.7,260,33.5,Meta
140.7061,37.0677,Basin 4,1035,468.4,0.17,951055,1.8781,90.09,2.3,0.4,47,31,Granite
140.7061,37.068,Basin 4,1080,475.7,0.17,945352,1.9701,69.35,2.9,0.4,55,30.7,Granite
140.7059,37.0685,Basin 4,1145,482.7,0.0835,925525,2.1036,43.01,2.6,0.4,23,26.1,Granite
140.7059,37.069,Basin 4,1210,487.3,0.076,849147,2.24,36.88,2.6,0.45,27,25.6,Granite
140.7063,37.0691,Basin 4,1250,490.8,0.0802,843588,2.326,37.89,1.85,0.45,21,23.6,Granite
140.7068,37.0693,Basin 4,1300,495.2,0.0802,835707,2.434,33.36,2.4,0.5,33,24.8,Granite
140.7071,37.0696,Basin 4,1350,498.2,0.0727,827740,2.5424,26.85,2.4,0.4,18,29.4,Granite
140.7073,37.0701,Basin 4,1420,502,0.056,800724,2.6955,26.2,2.15,0.45,16,30,Granite
140.7075,37.0705,Basin 4,1465,504.7,0.056,782997,2.7952,24.49,2,0.55,23,30,Granite
140.7078,37.0708,Basin 4,1575,510.3,0.0511,738671,3.0434,26.49,2.5,0.55,26,36.8,Granite
140.7082,37.0711,Basin 4,1630,514.1,0.0511,717676,3.1702,29.23,2.2,0.35,9,30.9,Granite
140.7086,37.0712,Basin 4,1680,517.4,0.0558,696780,3.2869,27.77,2.8,0.65,44,30,Granite
140.7093,37.0714,Basin 4,1745,522,0.0658,655057,3.4421,30.12,2.2,0.5,25,27.3,Granite
140.7347,37.0459,Basin 5,35,268.7,0.0963,3339333,0.0406,79.27,6.3,1.15,560,28.2,Granite
140.7352,37.0463,Basin 5,95,275.2,0.1092,3324566,0.1102,92.06,7.75,0.85,366,32.7,Granite
140.7354,37.0465,Basin 5,130,279.5,0.1092,3313802,0.1509,93.35,4.8,0.85,267,35.8,Granite
140.7356,37.0467,Basin 5,165,282.9,0.0959,3301641,0.1917,85.49,6,1,393,35.8,Granite
140.7357,37.0468,Basin 5,185,284.8,0.0959,3294675,0.215,80.89,7.4,1.1,568,36.1,Granite
140.7364,37.0477,Basin 5,315,296.3,0.0846,3236534,0.3673,71.75,6,0.95,304,38.3,Granite
140.7363,37.0481,Basin 5,360,299.9,0.0838,3197162,0.4204,80.16,7.05,1.4,805,35.8,Granite
140.7362,37.0485,Basin 5,410,305.2,0.1035,3157231,0.4797,99.69,5.9,1.3,747,36.5,Granite
140.7365,37.049,Basin 5,485,315.3,0.1247,3126595,0.5691,104.2,8.1,1.1,812,40.5,Granite
140.7369,37.0495,Basin 5,560,324.1,0.125,3078540,0.659,103.59,6.6,0.95,505,35.4,Granite
140.737,37.0498,Basin 5,590,327.9,0.125,3051024,0.6952,107.96,6.1,1.3,953,35,Granite
140.7376,37.0507,Basin 5,750,346.3,0.1042,2805771,0.8912,98.98,6.05,1.2,649,36.6,Granite
140.7382,37.0517,Basin 5,870,361.2,0.1269,2639174,1.043,90.6,6.3,1.05,625,30.1,Granite
140.7383,37.0523,Basin 5,945,370.4,0.1213,2437218,1.1416,93.35,6.6,1.2,829,34.6,Granite
140.7386,37.0531,Basin 5,1045,382.3,0.1185,2372735,1.2762,81.61,6.65,1.2,812,35.1,Granite
140.739,37.0535,Basin 5,1110,389.5,0.1128,2359040,1.3642,92.54,6.95,0.85,357,32.4,Granite
140.7393,37.0541,Basin 5,1180,398.7,0.1209,2320049,1.4594,88.52,7.05,1,573,34.6,Granite
140.7397,37.0547,Basin 5,1265,407.8,0.1137,1957163,1.5777,68.9,5.4,1.1,540,36.2,Granite
140.7402,37.0548,Basin 5,1310,413.2,0.11,1321616,1.6541,82.32,6.35,1.05,535,32.6,Granite
140.7405,37.0552,Basin 5,1370,423.1,0.1394,1208203,1.7629,87.01,6.05,1.1,747,33.9,Granite
140.7406,37.0557,Basin 5,1420,430.9,0.1571,1203937,1.8546,85.1,5.65,1.1,808,35.1,Granite
140.7408,37.056,Basin 5,1460,437,0.1616,1165184,1.9283,88.15,5.05,0.9,491,34.5,Granite
140.7411,37.0568,Basin 5,1575,458.3,0.1831,1035331,2.1505,87.06,4.8,0.7,308,34.2,Granite
140.7412,37.0576,Basin 5,1675,471.2,0.1395,1023714,2.3474,73.48,6.95,0.75,334,30.8,Granite
140.7414,37.0586,Basin 5,1795,490.7,0.1616,971666,2.5867,74.07,4.7,0.9,464,29,Granite
140.7416,37.0595,Basin 5,1895,504.7,0.1431,954031,2.7897,54.36,5.1,0.85,380,33.8,Granite
140.7421,37.0603,Basin 5,2005,515.7,0.0953,584219,3.0347,56.36,3.5,0.45,42,33,Granite
140.742,37.0607,Basin 5,2060,525.9,0.1175,462830,3.1827,60.63,4.75,0.7,185,32.2,Granite
140.7418,37.0609,Basin 5,2095,531.4,0.1681,426493,3.2841,59.59,3.55,0.45,81,30,Granite
140.7414,37.0614,Basin 5,2170,540.4,0.1727,406392,3.4288,67.72,2.9,0.4,56,30.6,Granite
140.7413,37.062,Basin 5,2235,540.4,0.1857,406392,3.4288,67.72,3,0.6,155,30.4,Granite
140.7414,37.0626,Basin 5,2305,540.4,0.1857,406392,3.4288,67.72,2.5,0.5,90,29.9,Granite
140.781,37.0227,Basin 6,315,208.4,0.1417,3705826,0.3457,156.58,9,0.65,266,38.9,Meta
140.7817,37.0231,Basin 6,430,234.5,0.237,3647566,0.4735,232.52,4.05,0.95,701,44.6,Meta
140.7815,37.0236,Basin 6,500,248,0.2533,3637848,0.5516,95.74,4.1,0.8,533,45.9,Meta
140.7815,37.0239,Basin 6,535,249.8,0.1692,3606815,0.5907,48.22,6.8,0.6,235,42.8,Meta
140.7815,37.0242,Basin 6,565,250.5,0.0749,3517421,0.6242,50.25,6.15,0.55,72,34.6,Meta
140.7815,37.0248,Basin 6,655,258.1,0.048,3035295,0.7307,81.12,5,1.1,190,35.6,Meta
140.7814,37.0251,Basin 6,690,261.7,0.0794,3023726,0.7731,88.44,4.5,0.95,225,37.1,Meta
140.7811,37.0254,Basin 6,730,265.9,0.1022,3010675,0.8217,105.53,7.6,0.8,289,38.9,Meta
140.7809,37.0259,Basin 6,795,275.9,0.126,2994725,0.9007,135.75,3.8,0.95,323,39.3,Meta
140.7806,37.0265,Basin 6,870,290.2,0.1831,2954578,0.9924,143.62,3.95,0.7,267,41,Meta
140.7803,37.0268,Basin 6,935,298.8,0.1831,2939669,1.0721,67.75,3.2,0.65,191,40.2,Meta
140.78,37.0268,Basin 6,970,300.7,0.1656,2920487,1.1151,63.65,3.7,0.85,342,36.4,Meta
140.7796,37.0268,Basin 6,1000,302.9,0.1022,2895276,1.1522,59.37,5.3,1.1,471,33,Meta
140.7792,37.0266,Basin 6,1065,307.1,0.069,2852881,1.2329,33.94,9.1,0.8,203,36.5,Meta
140.779,37.0268,Basin 6,1110,308.3,0.069,2844813,1.289,27.2,6.9,0.45,41,36.9,Meta
140.779,37.0271,Basin 6,1135,309.1,0.0558,2838390,1.3202,30.76,6.8,0.9,182,36.2,Meta
140.7791,37.0274,Basin 6,1190,311.4,0.033,2823057,1.3889,52.02,9.2,1.1,195,37.3,Meta
140.779,37.0276,Basin 6,1225,314.7,0.0353,2812318,1.4327,66.66,5.5,0.95,106,41.6,Meta
140.7788,37.0279,Basin 6,1250,316.8,0.0353,2790491,1.4641,74.03,4.7,1.1,127,39.7,Meta
140.7786,37.0282,Basin 6,1290,320.2,0.06,2736660,1.5145,81.25,4.55,0.85,130,35.8,Meta
140.7785,37.0286,Basin 6,1355,327.9,0.085,2699544,1.5973,86.36,6.45,1.1,449,33.4,Meta
140.7785,37.0289,Basin 6,1380,330.3,0.1025,2689893,1.6292,90.06,7.4,1.1,613,34.9,Meta
140.7787,37.0291,Basin 6,1430,336.4,0.1025,2670595,1.6932,91.69,7.15,0.85,326,36.5,Meta
140.7787,37.0294,Basin 6,1470,340.9,0.1094,2539509,1.7452,88.79,7.45,1.3,969,36.5,Meta
140.7784,37.0299,Basin 6,1530,347.8,0.112,2442749,1.8246,105.12,7.05,1.35,1034,35.9,Meta
140.7785,37.0305,Basin 6,1605,361.4,0.1168,2171135,1.9266,159.6,6.7,0.9,416,37,Meta
140.7791,37.0309,Basin 6,1670,378.6,0.1481,1912735,2.0223,149.37,6.8,1.1,875,37.7,Meta
140.7793,37.031,Basin 6,1690,383,0.1481,1910330,2.0521,133.11,6.7,1.3,1252,37.5,Meta
140.7795,37.0311,Basin 6,1705,385.2,0.2179,1907579,2.0745,119.34,4.5,0.75,420,37,Meta
140.7796,37.0313,Basin 6,1760,392.8,0.2179,1894636,2.1567,86.1,6.2,0.9,800,36.9,Meta
140.7795,37.0316,Basin 6,1810,398.8,0.2479,1880546,2.2317,82.14,5.75,1.2,1655,35.9,Meta
140.7795,37.0318,Basin 6,1830,401.2,0.2097,1875352,2.2617,84.05,6.8,1,1042,35,Meta
140.7796,37.0322,Basin 6,1870,406.6,0.1497,1867302,2.3219,84.66,7.7,0.9,599,31.7,Meta
140.7796,37.0325,Basin 6,1920,412.9,0.1497,1854424,2.3973,76.8,6.4,1.25,1120,26,Meta
140.7794,37.0328,Basin 6,1965,417.6,0.1211,1790204,2.466,70.53,6.55,1.5,1322,28.6,Meta
140.7793,37.0331,Basin 6,2000,421.1,0.125,1711504,2.5201,71.48,4.6,1.2,617,28.2,Meta
140.7795,37.0333,Basin 6,2025,424.1,0.125,1704396,2.5593,73.43,8.1,0.9,502,27.1,Meta
140.7797,37.0337,Basin 6,2085,431.1,0.1229,1683874,2.6537,67.83,6.5,0.75,279,27.9,Meta
140.7797,37.034,Basin 6,2130,435.6,0.1102,1633421,2.7252,65.88,4.7,1,377,24,Meta
140.7796,37.0342,Basin 6,2150,437.4,0.1085,1605055,2.7571,66.25,7.4,1.15,724,25.2,Meta
140.7796,37.0345,Basin 6,2190,442.2,0.1085,1579838,2.822,67.28,6.9,0.7,211,26.4,Meta
140.7796,37.0349,Basin 6,2235,447.1,0.1124,1566337,2.8952,67.74,6.15,1,480,26,Meta
140.7796,37.0352,Basin 6,2265,450.5,0.1077,1557654,2.9442,75.82,6.8,0.85,334,27.7,Meta
140.7798,37.0356,Basin 6,2330,459.6,0.1045,1532891,3.0508,87.58,7.5,0.95,448,29.6,Meta
140.7802,37.0361,Basin 6,2405,469,0.1096,1509253,3.1747,53.47,8.65,0.7,237,23.9,Meta
140.7803,37.0364,Basin 6,2435,471.1,0.1156,1490278,3.2246,38.88,7.8,0.95,513,23.5,Meta
140.7803,37.0368,Basin 6,2490,473.8,0.1395,1462417,3.3167,18.75,5.6,0.65,209,23.8,Meta
140.7803,37.0377,Basin 6,2590,474.9,0.1068,1425710,3.4857,7.89,7.4,0.65,178,25.1,Meta
140.7802,37.0381,Basin 6,2650,476,0.0621,1405778,3.5881,11.29,8.2,0.65,101,23.3,Meta
140.7798,37.0385,Basin 6,2710,477.1,0.0244,1381998,3.6913,11.2,5.8,0.55,20,21.2,Meta
140.7796,37.0387,Basin 6,2740,477.7,0.0244,1364835,3.7432,10.49,5,0.85,51,20.6,Meta
140.7794,37.0391,Basin 6,2785,478.5,0.0084,1322845,3.8216,11.6,3.9,0.65,7,19.9,Meta
140.7793,37.0393,Basin 6,2810,478.9,0.0118,1296124,3.8656,13.92,4.3,0.7,13,19.4,Meta
140.7792,37.0396,Basin 6,2845,479.8,0.0172,1273145,3.9282,24.85,3.7,0.7,18,19,Meta
140.779,37.0399,Basin 6,2895,483.3,0.0187,1260645,4.018,35.57,4.2,0.55,12,18.6,Meta
140.7787,37.0403,Basin 6,2945,486.2,0.0175,1226476,4.1081,22.67,3.7,0.55,10,16.5,Meta
140.7783,37.0405,Basin 6,2995,487.6,0.0175,1161782,4.2007,13.28,3.5,0.45,6,11.7,Meta
140.7779,37.041,Basin 6,3085,488.9,0.0477,1096188,4.3711,4.94,3.8,0.55,33,10,Meta
140.7778,37.0414,Basin 6,3115,489.1,0.0615,1075931,4.4287,3.7,6.2,0.55,58,11.5,Meta
140.7778,37.0416,Basin 6,3140,489.3,0.0615,1039953,4.4773,3.08,3.9,0.65,65,11.3,Meta
140.7776,37.0418,Basin 6,3170,489.4,0.0465,1001841,4.5363,2.49,4.3,0.5,27,10.1,Meta
140.7773,37.0421,Basin 6,3215,489.6,0.0236,968238,4.6271,2.44,4.6,0.6,21,10.9,Meta
140.7773,37.0425,Basin 6,3280,490,0.012,854081,4.7611,6.26,3.9,0.55,7,9.5,Meta
140.7771,37.0427,Basin 6,3305,490.3,0.012,727268,4.8144,9.17,3.8,0.5,6,9.7,Meta
140.777,37.0429,Basin 6,3345,491.6,0.007,531215,4.9184,12.92,3.8,0.55,4,9.9,Meta
140.7767,37.0432,Basin 6,3370,492.6,0.0038,440307,4.9875,14.46,3.7,0.5,1,10,Meta
140.7765,37.0434,Basin 6,3430,495.1,0.0038,434658,5.1612,12.33,3.5,0.4,1,12.1,Meta
140.7755,37.0443,Basin 6,3580,499.2,0.024,389898,5.6039,10.1,2.5,0.3,3,17.6,Meta